Municipios,AÑO,Cacao,Café,Caña de azucar,Caña panelera,Plátano
Guacarì,2009,5.0,583.2,"12,892.9",67.0,108.0
Jamundì,2009,300.0,"1,578.4","7,097.8",78.0,185.0
La Cumbre,2009,0.0,842.6,0.0,53.0,311.0
La Unión,2009,14.0,758.2,"1,069.5",14.0,25.0
La Victoria,2009,45.0,765.6,"1,183.4",205.0,290.0
Obando,2009,60.0,"1,500.2","3,133.1",60.0,200.0
Palmira,2009,10.0,279.2,"37,247.4",178.0,120.0
Pradera,2009,0.0,397.5,"12,796.0",0.0,7.0
Restrepo,2009,0.0,"1,237.2",0.0,390.0,566.0
Riofrìo,2009,61.0,"3,893.4","3,404.7",109.0,"1,178.0"
Roldanillo,2009,24.3,934.6,"1,607.1",65.0,76.0
San Pedro,2009,0.0,422.8,"4,528.3",460.0,190.0
Sevilla,2009,14.0,"7,873.0",0.0,228.0,"3,402.0"
Toro,2009,21.0,"1,913.4","1,110.1",0.0,289.0
Trujillo,2009,16.0,"4,979.9",99.2,36.0,815.0
Tuluà,2009,66.0,"3,916.0","9,754.2",77.0,466.0
Ulloa,2009,0.0,939.9,0.0,0.0,455.0
Versalles,2009,0.0,"1,681.7",0.0,473.0,369.3
Vijes,2009,0.0,817.0,0.0,40.0,143.0
Yotoco,2009,0.0,"1,699.0","1,891.1",49.0,"1,055.6"
Yumbo,2009,0.0,349.0,"1,670.2",14.0,26.0
Zarzal,2009,24.6,0.0,"17,856.2",30.0,9.0
Cali,2008,0.0,611.0,"4,990.0",0.0,60.0
Alcalá,2008,0.0,"1,616.0",0.0,80.0,538.0
Andalucia,2008,24.5,311.0,"6,948.0",379.0,77.0
